empleado_id,edad,departamento,cargo,antiguedad,salario,horas_extra,satisfaccion,evaluacion,distancia_km,desercion,desercion_label,rango_antiguedad
EMP-0001,50,Finanzas,Coordinador,6,2360.0,1,3,2.3,15,0,Se quedó,6-10 años
EMP-0002,36,TI,Gerente,11,2392.0,1,1,4.8,44,0,Se quedó,11+ años
EMP-0003,29,Finanzas,Analista,16,3451.0,1,4,3.7,3,0,Se quedó,11+ años
EMP-0004,42,Operaciones,Asistente,16,3643.0,0,1,2.5,43,0,Se quedó,11+ años
EMP-0005,40,Finanzas,Supervisor,9,3322.0,0,3,4.4,47,0,Se quedó,6-10 años
EMP-0006,44,Operaciones,Supervisor,18,1758.0,0,4,4.7,35,1,Renunció,11+ años
EMP-0007,32,Operaciones,Supervisor,13,3311.0,1,2,2.5,14,0,Se quedó,11+ años
EMP-0008,32,Operaciones,Asistente,10,1762.0,0,1,4.5,2,1,Renunció,6-10 años
EMP-0009,45,Marketing,Analista,1,3345.0,1,3,4.8,29,0,Se quedó,0-2 años
EMP-0010,57,Operaciones,Asistente,17,1500.0,0,2,4.8,4,0,Se quedó,11+ años
EMP-0011,45,Operaciones,Supervisor,6,2351.0,1,1,4.7,26,1,Renunció,6-10 años
EMP-0012,24,TI,Gerente,11,1757.0,1,1,3.6,51,1,Renunció,11+ años
EMP-0013,43,Ventas,Coordinador,1,3456.0,0,4,3.1,12,0,Se quedó,0-2 años
EMP-0014,23,RRHH,Asistente,19,3813.0,0,3,2.0,2,0,Se quedó,11+ años
EMP-0015,45,Ventas,Asistente,17,2643.0,1,2,2.2,17,1,Renunció,11+ años
EMP-0016,51,Operaciones,Analista,5,2608.0,0,1,3.3,35,0,Se quedó,3-5 años
EMP-0017,23,TI,Analista,9,3235.0,0,4,3.2,10,0,Se quedó,6-10 años
EMP-0018,42,Finanzas,Asistente,19,3822.0,1,2,2.6,48,0,Se quedó,11+ años
EMP-0019,54,TI,Supervisor,14,2477.0,0,2,3.2,22,0,Se quedó,11+ años
EMP-0020,33,Operaciones,Coordinador,4,1998.0,1,1,2.5,41,1,Renunció,3-5 años
EMP-0021,43,TI,Analista,19,3162.0,1,2,4.5,43,1,Renunció,11+ años
EMP-0022,46,TI,Supervisor,2,1500.0,0,1,2.9,21,0,Se quedó,0-2 años
EMP-0023,48,Operaciones,Gerente,4,3512.0,0,4,3.8,15,0,Se quedó,3-5 años
EMP-0024,49,Marketing,Analista,7,1837.0,0,4,3.5,35,0,Se quedó,6-10 años
EMP-0025,37,TI,Supervisor,7,2217.0,1,2,2.2,48,0,Se quedó,6-10 años
EMP-0026,36,RRHH,Supervisor,7,3521.0,0,1,4.8,21,0,Se quedó,6-10 años
EMP-0027,24,RRHH,Coordinador,11,2067.0,1,3,3.6,21,1,Renunció,11+ años
EMP-0028,28,TI,Coordinador,7,3162.0,0,4,3.0,21,1,Renunció,6-10 años
EMP-0029,42,Marketing,Gerente,10,3849.0,0,1,2.5,44,0,Se quedó,6-10 años
EMP-0030,30,Finanzas,Supervisor,13,2550.0,0,1,3.0,32,1,Renunció,11+ años
EMP-0031,39,Operaciones,Supervisor,7,2764.0,0,1,2.1,55,0,Se quedó,6-10 años
EMP-0032,25,RRHH,Coordinador,9,2327.0,0,2,3.1,5,0,Se quedó,6-10 años
EMP-0033,46,Finanzas,Analista,6,2556.0,0,3,3.6,39,1,Renunció,6-10 años
EMP-0034,35,TI,Analista,16,1562.0,0,2,4.6,9,0,Se quedó,11+ años
EMP-0035,30,Finanzas,Asistente,3,2170.0,0,4,4.1,53,1,Renunció,3-5 años
EMP-0036,47,Ventas,Coordinador,12,1500.0,0,2,2.3,18,0,Se quedó,11+ años
EMP-0037,23,RRHH,Asistente,3,1704.0,1,1,2.4,21,0,Se quedó,3-5 años
EMP-0038,41,TI,Coordinador,4,1500.0,0,2,3.3,8,0,Se quedó,3-5 años
EMP-0039,49,Operaciones,Gerente,3,2712.0,0,1,2.6,44,1,Renunció,3-5 años
EMP-0040,28,Marketing,Supervisor,17,4801.0,1,3,2.1,52,1,Renunció,11+ años
EMP-0041,29,TI,Gerente,5,2034.0,0,2,4.4,34,0,Se quedó,3-5 años
EMP-0042,56,Operaciones,Coordinador,1,3591.0,1,2,2.1,10,0,Se quedó,0-2 años
EMP-0043,35,Marketing,Supervisor,10,3829.0,0,2,4.5,51,0,Se quedó,6-10 años
EMP-0044,38,Marketing,Analista,13,1511.0,0,1,2.4,41,1,Renunció,11+ años
EMP-0045,57,TI,Analista,4,1647.0,1,1,4.9,57,1,Renunció,3-5 años
EMP-0046,25,Finanzas,Asistente,5,3628.0,0,2,3.8,24,0,Se quedó,3-5 años
EMP-0047,23,Finanzas,Coordinador,9,2352.0,1,2,4.2,40,0,Se quedó,6-10 años
EMP-0048,27,Marketing,Coordinador,7,1500.0,0,3,2.3,24,0,Se quedó,6-10 años
EMP-0049,25,Finanzas,Analista,13,1892.0,1,3,4.6,56,0,Se quedó,11+ años
EMP-0050,50,Ventas,Gerente,2,2887.0,1,4,4.5,32,0,Se quedó,0-2 años
EMP-0051,39,Marketing,Supervisor,11,1777.0,0,3,4.0,56,0,Se quedó,11+ años
EMP-0052,47,Marketing,Gerente,15,1500.0,1,3,3.5,33,1,Renunció,11+ años
EMP-0053,55,Operaciones,Gerente,16,2146.0,0,3,4.2,38,0,Se quedó,11+ años
EMP-0054,31,Finanzas,Analista,0,2216.0,1,1,2.0,44,1,Renunció,
EMP-0055,57,Marketing,Analista,9,2450.0,0,3,3.8,57,0,Se quedó,6-10 años
EMP-0056,35,Ventas,Analista,9,4038.0,1,3,4.5,56,0,Se quedó,6-10 años
EMP-0057,52,Operaciones,Asistente,1,2493.0,0,2,3.1,51,0,Se quedó,0-2 años
EMP-0058,36,TI,Gerente,8,2690.0,0,1,2.3,59,1,Renunció,6-10 años
EMP-0059,29,Marketing,Coordinador,12,3723.0,1,4,3.3,49,0,Se quedó,11+ años
EMP-0060,35,Ventas,Supervisor,15,2451.0,1,4,4.2,34,1,Renunció,11+ años
EMP-0061,44,RRHH,Asistente,17,5737.0,0,3,2.3,11,0,Se quedó,11+ años
EMP-0062,42,Ventas,Coordinador,18,1500.0,0,4,2.6,31,1,Renunció,11+ años
EMP-0063,37,Ventas,Gerente,11,1680.0,0,4,2.4,18,0,Se quedó,11+ años
EMP-0064,39,Operaciones,Analista,7,3120.0,0,4,4.4,23,0,Se quedó,6-10 años
EMP-0065,45,TI,Gerente,16,4031.0,0,3,2.2,22,0,Se quedó,11+ años
EMP-0066,47,RRHH,Supervisor,14,2252.0,1,4,4.1,43,0,Se quedó,11+ años
EMP-0067,46,Finanzas,Asistente,9,1629.0,0,3,3.1,18,0,Se quedó,6-10 años
EMP-0068,50,Finanzas,Asistente,14,4936.0,1,2,4.3,40,0,Se quedó,11+ años
EMP-0069,36,Ventas,Supervisor,14,1778.0,1,2,4.9,47,0,Se quedó,11+ años
EMP-0070,22,Operaciones,Coordinador,6,2795.0,0,4,2.3,41,0,Se quedó,6-10 años
EMP-0071,46,Operaciones,Coordinador,12,4128.0,0,2,2.9,47,0,Se quedó,11+ años
EMP-0072,28,Finanzas,Asistente,16,2045.0,0,3,4.4,39,0,Se quedó,11+ años
EMP-0073,30,RRHH,Asistente,8,1903.0,0,2,2.8,20,0,Se quedó,6-10 años
EMP-0074,45,TI,Analista,7,1956.0,1,4,2.6,13,0,Se quedó,6-10 años
EMP-0075,22,RRHH,Coordinador,19,3500.0,0,3,4.5,45,0,Se quedó,11+ años
EMP-0076,29,Marketing,Supervisor,17,3730.0,1,1,5.0,1,1,Renunció,11+ años
EMP-0077,45,Marketing,Coordinador,12,2474.0,0,3,3.7,52,0,Se quedó,11+ años
EMP-0078,32,TI,Analista,15,5183.0,0,2,2.8,4,0,Se quedó,11+ años
EMP-0079,38,Finanzas,Asistente,8,2472.0,0,1,3.2,24,1,Renunció,6-10 años
EMP-0080,29,TI,Asistente,11,4093.0,0,3,2.5,36,0,Se quedó,11+ años
EMP-0081,56,Operaciones,Analista,11,2053.0,0,1,4.3,36,1,Renunció,11+ años
EMP-0082,56,Marketing,Supervisor,5,6207.0,0,1,4.3,45,0,Se quedó,3-5 años
EMP-0083,54,Ventas,Asistente,18,4574.0,1,1,4.6,2,0,Se quedó,11+ años
EMP-0084,26,Ventas,Gerente,6,2319.0,1,3,2.1,28,0,Se quedó,6-10 años
EMP-0085,49,Finanzas,Asistente,2,4332.0,0,2,3.7,26,0,Se quedó,0-2 años
EMP-0086,28,Operaciones,Gerente,15,4245.0,0,3,2.6,23,0,Se quedó,11+ años
EMP-0087,30,RRHH,Analista,17,4542.0,0,2,3.0,15,1,Renunció,11+ años
EMP-0088,29,Operaciones,Analista,15,1500.0,0,3,4.4,36,0,Se quedó,11+ años
EMP-0089,33,Ventas,Asistente,6,3254.0,0,3,2.6,27,0,Se quedó,6-10 años
EMP-0090,55,Ventas,Coordinador,3,3032.0,0,3,3.9,6,0,Se quedó,3-5 años
EMP-0091,54,Marketing,Gerente,7,2947.0,0,2,4.0,35,1,Renunció,6-10 años
EMP-0092,44,Operaciones,Supervisor,12,2663.0,0,3,4.9,39,0,Se quedó,11+ años
EMP-0093,45,Operaciones,Asistente,12,2695.0,0,1,4.3,38,1,Renunció,11+ años
EMP-0094,56,Ventas,Supervisor,16,4078.0,0,3,4.4,35,0,Se quedó,11+ años
EMP-0095,43,RRHH,Asistente,16,3028.0,1,1,3.6,36,1,Renunció,11+ años
EMP-0096,48,Finanzas,Coordinador,4,2662.0,0,4,2.6,10,0,Se quedó,3-5 años
EMP-0097,56,Finanzas,Coordinador,5,3850.0,0,4,3.3,30,0,Se quedó,3-5 años
EMP-0098,22,Operaciones,Coordinador,18,2885.0,0,2,3.6,53,0,Se quedó,11+ años
EMP-0099,56,Finanzas,Coordinador,12,2997.0,1,2,4.0,41,0,Se quedó,11+ años
EMP-0100,35,Ventas,Analista,13,5150.0,1,4,3.8,38,0,Se quedó,11+ años
EMP-0101,24,Ventas,Analista,3,2051.0,1,3,3.2,29,1,Renunció,3-5 años
EMP-0102,22,Operaciones,Gerente,6,1500.0,0,3,2.8,52,0,Se quedó,6-10 años
EMP-0103,26,Operaciones,Supervisor,7,2512.0,0,3,2.5,59,1,Renunció,6-10 años
EMP-0104,47,Marketing,Asistente,12,2659.0,1,4,4.1,43,0,Se quedó,11+ años
